,clean_word,weight
294,apiun,-3.0
295,apkir,-4.0
296,aplikasi,-4.0
297,arabika,2.0
298,arah,-1.8333333333333333
299,arak,2.0
300,aram,-3.0
301,aras,4.0
302,arau,-4.0
303,arbitrer,-5.0
304,arca,-3.0
305,argumen,-4.0
306,arif,3.5
307,arik,-3.0
308,arketipe,3.0
309,armada,-5.0
310,arsip,-5.0
311,arsitektur,2.0
312,arti,1.5
313,artifisial,3.0
314,artikel,-4.0
315,artis,2.0
316,artistik,4.0
317,aru,-5.0
318,aruaru,-4.0
319,arung,1.0
320,arus udara,-4.0
321,asa,1.0
322,asah,-3.0
323,asah asih asuh,2.0
324,asak,-3.0
325,asal,-3.0
326,asal usul,-4.0
327,asalasalan,-5.0
328,asam,-2.0
329,asan tak asan,-5.0
330,asasi,3.0
331,asfal,-5.0
332,asid,-5.0
333,asih,3.0
334,asik,4.0
335,asimilasi,-3.0
336,asing,-4.5
337,asket,2.0
338,asli,2.0
339,asmara,2.0
340,asoi,3.0
341,asor,-5.0
342,asosiasi,3.0
343,aspek,-3.0
344,aspiran,-5.0
345,asrama,3.0
346,asri,4.0
347,assalamualaikum,3.0
348,astaga,3.0
349,astagfirullah,3.0
350,astagfirulloh,-4.0
351,astaghfirullah,-3.0
352,asuh,1.0
353,asumsi,-3.0
354,asusila,-5.0
355,aswad,-4.0
356,atas,-1.0
357,atensi,2.0
358,ati,-1.0
359,atom,3.0
360,atraktif,4.0
361,atresia,-3.0
362,atribut,-3.0
363,atuh,-1.0
364,atur,4.0
365,atut,-2.0
366,aur,-3.0
367,aurat,-2.0
368,aus,-5.0
369,auta,-4.0
370,autentik,3.0
371,awa,-3.0
372,awak,5.0
373,awal,-1.0
374,awan,-3.0
375,awan kelabu,-3.0
376,awas,2.0
377,awat,5.0
378,awet,4.0
379,awi,-3.0
380,awur,-4.0
381,awut,-4.0
382,awutawutan,-5.0
383,aya,3.0
384,ayahanda,1.0
385,ayal,-3.0
386,ayat,-4.0
387,ayo,4.0
388,ayun,-1.0
389,azab,-3.6666666666666665
390,azamat,4.0
391,azimat,1.0
392,aziz,2.0
393,bab,-4.0
394,babak,-4.0
395,babar,1.6666666666666667
396,babat,-4.0
397,babe,3.0
398,babi,-4.0
399,babi buta,-4.0
400,babil,-4.0
401,bablas,-5.0
402,babu,-5.0
403,baby,2.0
404,baca,2.5
405,bacar mulut,-4.0
406,bacok,-4.0
407,bacot,3.0
408,bad,-4.0
409,badai,-4.0
410,badan,-3.0
411,badan ,-3.0
412,badmood,-4.0
413,badung,-4.0
414,bagai,0.0
415,bagai macam,3.0
416,bagaimana ,-2.0
417,bagak,5.0
418,bagal,-3.0
419,bagas,5.0
420,baginda,2.0
421,bagus,2.0
422,bah,-3.0
423,bahadur,5.0
424,bahaduri,4.0
425,bahagia,4.0
426,bahala,-3.0
427,bahan,-3.5
428,bahana,-3.0
429,bahas,1.25
430,bahasa,-4.0
431,bahaya,-4.5
432,bahlul,-5.0
433,bahtera,-3.0
434,baiat,-3.0
435,baik,0.0
436,baikbaik,3.0
437,bain,1.0
438,bait,-3.0
439,bajak,-4.5
440,bajik,4.0
441,bajing,1.0
442,baju,2.0
443,bakar,-3.0
444,bakat,4.0
445,bakh,4.0
446,bakir,4.0
447,baksis,2.0
448,baktau,-5.0
449,bakti,1.0
450,baku,1.0
451,bala,-5.0
452,bala bencana,-5.0
453,balai,-3.0
454,balairung,-3.0
455,balas,2.5
456,balela,-4.0
457,bales,-3.0
458,balesnya,-2.0
459,balik,-3.2
460,balik adab,-5.0
461,balik akal,-1.0
462,balik belakang,-5.0
463,balik gagang,-5.0
464,balkon,-3.0
465,balung,-4.0
466,balur,-4.0
467,balut,-3.0
468,bambu,-3.0
469,bambung,-3.0
470,ban,-4.5
471,banal,-3.0
472,banat,-4.0
473,bancang,-5.0
474,banci,-5.0
475,bandang,-4.0
476,bandar,-4.0
477,bandel,-5.0
478,banding,0.0
479,bandit,-5.0
480,bando,-4.0
481,bandung,2.0
482,bangai,-3.0
483,bangan,2.0
484,bangang,-3.0
485,bangbung,-4.0
486,banget,1.0
487,bangett,-2.0
488,bangga,3.0
489,bangkai,-4.0
490,bangkang,-4.0
491,bangkit,2.0
492,bangkit selera,3.0
493,bangkot,-4.0
494,bangkrut,-5.0
495,bangle,-4.0
496,bangsal,-3.0
497,bangsat,-5.0
498,bangsawan,2.0
499,bangun,-1.5
500,banjir,1.0
501,bantah,-3.0
502,bantahbantah,5.0
503,bantai,-4.5
504,bantal,3.0
505,bantar,-4.0
506,banteng,-3.0
507,bantet,-3.0
508,banting,-3.0
509,bantu,3.0
510,bantuin,3.0
511,banyak,2.6666666666666665
512,banyak akal,3.0
513,banyak bicara,-3.0
514,banyak cakap,-4.0
515,banyak cincong,-4.0
516,banyak mulut,-4.0
517,banyak omong,-4.0
518,banyol,0.0
519,bapa,3.0
520,bapanda,3.0
521,bapang,3.0
522,baper,1.0
523,baperan,-4.0
524,bapet,-4.0
525,bara,-2.0
526,baran,-5.0
527,barbar,-5.0
528,bareng,3.0
529,baret,-3.0
530,baring,2.0
531,barkas,-5.0
532,baru,4.0
533,barua,-5.0
534,barut,-3.0
535,barzakh,-4.0
536,basi,-5.0
537,baskom,-4.0
538,basmi,-5.0
539,bastar,-2.0
540,batal,-4.0
541,batalion,-5.0
542,batang,-4.0
543,batas,0.0
544,batas waktu,-3.0
545,batel,-4.0
546,baterai,-3.0
547,batil,-4.0
548,batu,2.0
549,batu dahak,-4.0
550,batu loncat,-3.0
551,batuk,-4.0
552,batuk darah,-4.0
553,batuk kecil,-4.0
554,batuk kering,-3.0
555,batuk lelah,-4.0
556,batukbatuk,-4.0
557,batungbatung,-4.0
558,bau,-4.0
559,bau kencur,-4.0
560,bau tanah,1.0
561,bausuku,3.0
562,bawa,1.6666666666666667
563,bawa berat,-3.0
564,bawain,-3.0
565,bawang,-5.0
566,bawat,-5.0
567,bawel,-4.0
568,baya,-4.0
569,bayan,-1.0
570,bayang,2.5
571,bayangbayang,3.0
572,bayangkara,3.0
573,bayar,-1.0
574,bayi,-3.0
575,bayu,-4.0
576,bebal,-3.0
577,beban,-5.0
578,bebas,-4.0
579,bebat,-3.0
580,bebel,-5.0
581,beber,-1.0
582,bebodoran,2.0
583,becak,-5.0
584,becek,-4.0
585,becus,1.0
586,beda,-2.6666666666666665
587,bedah,3.0
588,bedegap,3.0
589,bedegong,-4.0
590,bedel,-4.0
591,bedeng,-3.0
592,bedol,-4.0
593,begadang,-3.0
594,begah,-2.0
595,begak,-3.0
596,begal,-5.0
597,beganabegini,-4.0
598,begini,-2.0
599,begu,-4.0
600,beguk,-4.0
601,begundal,-3.0
602,bejat,-5.0
603,bekal,3.0
604,bekam,-4.0
605,bekap,-3.0
606,bekas,1.0
607,bekicot,-4.0
608,belagu,4.0
609,belah,-4.25
610,belah ketupat,-4.0
611,belai,-3.6666666666666665
612,belaka,-1.0
613,belakang,-3.0
614,belam,-3.0
615,belang,-5.0
616,belanja,2.0
617,belas,2.0
618,belati,-4.0
619,belembang,-5.0
620,belendung,-3.0
621,belenggu,0.0
622,beleter,-4.0
623,beli,2.0
624,belia,-2.0
625,beliin,-1.0
626,belikan,-1.0
627,beling,-1.0
628,belingsat,-4.0
629,belinjo,-3.0
630,belis,-4.0
631,belit,-3.0
632,beloh,-5.0
633,belok,3.0
634,beloon,-3.0
635,belot,-5.0
636,belubelai,-4.0
637,belukar,3.0
638,belulang,-3.0
639,bembam,-4.0
640,benah hati,-3.0
641,benak,3.0
642,benak kepala,3.0
643,benam,-5.0
644,benang,4.0
645,benang raja,4.0
646,benar,3.0
647,benarbenar,2.0
648,bencana,-4.5
649,bencat,-5.0
650,benci,-1.0
651,bencong,-5.0
652,bendel,-5.0
653,bendera,-3.0
654,benderang,-3.0
655,bendoro,-4.0
656,bendu,-4.0
657,bendung,-3.0
658,bener,3.0
659,beneran,3.0
660,bengal,-4.0
661,bengap,-3.0
662,bengis,-5.0
663,bengkak,-4.0
664,bengkak hati,-3.0
665,bengkerap,-4.0
666,bengkok,-4.0
667,bengok,-4.0
668,benguk,-2.0
669,bening,-4.0
670,benjut,-4.0
671,benta,-5.0
672,bentak,-5.0
673,bentan,-4.0
674,bentang,1.0
675,bentok,-4.0
676,bentrok,0.0
677,bentuk,3.3333333333333335
678,bentul,-3.0
679,bentur,-2.6666666666666665
680,benyot,-4.0
681,beol,-5.0
682,berahi,5.0
683,berak,-4.5
684,berak air,-4.0
685,beramburambu,-4.0
686,beramukamukan,-4.0
687,beranakpinak,2.0
688,beranang,-3.0
689,beranda,1.0
690,berandal,-5.0
691,berang,-5.0
692,berangai,-5.0
693,berangan,-3.0
694,berangkal,-3.0
695,berangkat,-4.0
696,berangsang,-4.5
697,beranta,-5.0
698,berantak,-4.0
699,berantas,-5.0
700,berapatrapat,-3.0
701,berat ekor,-4.0
702,berat hati,-4.0
703,berat kepala,-5.0
704,berat otak,-4.0
705,berat pinggul,-2.0
706,berat tangan,-4.0
707,berat telinga,-3.0
