,clean_word,weight
865,hormat,5.0
4289,hormat,-3.0
4299,hukum,-3.0
872,hukum,3.5
874,huni,3.0
4303,huni,-3.0
877,iba,4.0
4306,iba,-5.0
4308,idam,-2.0
882,idam,3.0
889,ikat,2.6666666666666665
4322,ikat,-3.0
895,ikut,3.5
4325,ikut,-3.0
4331,imbas,-4.0
905,imbas,3.0
4340,inap,-3.0
913,inap,2.0
4345,indah,-2.0
915,indah,3.5
923,ingat,2.6666666666666665
4359,ingat,-3.0
945,interupsi,3.0
4378,interupsi,-5.0
4395,isbat,-3.0
956,isbat,3.0
960,istirahat,3.0
4402,istirahat,-2.0
4408,izin,-4.0
963,izin,3.0
967,jaga,2.3333333333333335
4413,jaga,-3.0
970,jahil,4.0
4418,jahil,-4.0
971,jajah,3.0
4421,jajah,-5.0
974,jalan,3.0
4424,jalan,-4.0
4443,jamin,-5.0
985,jamin,5.0
4451,jarak,-3.3333333333333335
988,jarak,3.0
4458,jatuh,-4.0
993,jatuh,1.0
999,jejal,1.0
4470,jejal,-3.0
1010,jernih,2.5
4509,jernih,-3.0
1019,jodoh,3.0
4524,jodoh,-3.0
4533,jual,-5.0
1025,jual,1.0
1033,junjung,4.0
4540,junjung,-2.0
4555,kabung,-5.0
1037,kabung,1.0
4572,kait,-3.0
1047,kait,2.0
4573,kaji,-5.0
1048,kaji,4.0
4591,kandung,-3.0
1060,kandung,5.0
1079,kata,3.0
4620,kata,-1.75
4627,kaya,-2.0
1083,kaya,2.0
4637,kecam,-5.0
1085,kecam,3.0
4644,kecil,-3.0
1088,kecil,4.0
4660,kejut,-3.0
1095,kejut,3.0
1100,kelih,4.0
4676,kelih,-4.0
1105,keluar,3.0
4687,keluar,-3.0
1114,kena,4.0
4707,kena,-3.0
4708,kenang,-3.0
1117,kenang,3.0
1132,keri,4.0
4747,keri,-4.0
1133,kerja,2.5
4753,kerja,-4.0
1138,kerubung,1.0
4762,kerubung,-4.0
1140,kesah,2.0
4769,kesah,-3.0
1155,khawatir,1.0
4801,khawatir,-4.0
1160,kias,4.0
4808,kias,-4.0
1162,kicau,3.0
4809,kicau,-4.0
1175,kira,2.3333333333333335
4818,kira,-2.0
1176,kirim,1.6666666666666667
4822,kirim,-5.0
1192,komplot,4.0
4845,komplot,-4.0
